"lid","reporter","indicator","unit"
91655,"Belarus","(a) Life expectancy, males","years"
22187,"Bosnia and Herzegovina","(a) Life expectancy, males","years"
15804,"Bulgaria","(a) Life expectancy, males","years"
20004,"Croatia","(a) Life expectancy, males","years"
16685,"Czechia","(a) Life expectancy, males","years"
17604,"Estonia","(a) Life expectancy, males","years"
18586,"Hungary","(a) Life expectancy, males","years"
67237,"Kazakhstan","(a) Life expectancy, males","years"
27315,"Latvia","(a) Life expectancy, males","years"
25203,"Lithuania","(a) Life expectancy, males","years"
104296,"Moldova","(a) Life expectancy, males","years"
58400,"Montenegro","(a) Life expectancy, males","years"
21596,"North Macedonia","(a) Life expectancy, males","years"
22673,"Poland","(a) Life expectancy, males","years"
23637,"Romania","(a) Life expectancy, males","years"
24525,"Russia","(a) Life expectancy, males","years"
19518,"Serbia","(a) Life expectancy, males","years"
27778,"Serbia and Montenegro","(a) Life expectancy, males","years"
26399,"Slovakia","(a) Life expectancy, males","years"
20680,"Slovenia","(a) Life expectancy, males","years"
72739,"Turkey","(a) Life expectancy, males","years"
25685,"Ukraine","(a) Life expectancy, males","years"
15348,"Albania","(a) Life expectancy, females","years"
91656,"Belarus","(a) Life expectancy, females","years"
22188,"Bosnia and Herzegovina","(a) Life expectancy, females","years"
15805,"Bulgaria","(a) Life expectancy, females","years"
20005,"Croatia","(a) Life expectancy, females","years"
16686,"Czechia","(a) Life expectancy, females","years"
17605,"Estonia","(a) Life expectancy, females","years"
18587,"Hungary","(a) Life expectancy, females","years"
67238,"Kazakhstan","(a) Life expectancy, females","years"
27316,"Latvia","(a) Life expectancy, females","years"
25204,"Lithuania","(a) Life expectancy, females","years"
104297,"Moldova","(a) Life expectancy, females","years"
58401,"Montenegro","(a) Life expectancy, females","years"
21597,"North Macedonia","(a) Life expectancy, females","years"
22674,"Poland","(a) Life expectancy, females","years"
23638,"Romania","(a) Life expectancy, females","years"
24526,"Russia","(a) Life expectancy, females","years"
19519,"Serbia","(a) Life expectancy, females","years"
27779,"Serbia and Montenegro","(a) Life expectancy, females","years"
26400,"Slovakia","(a) Life expectancy, females","years"
20681,"Slovenia","(a) Life expectancy, females","years"
72740,"Turkey","(a) Life expectancy, females","years"
25686,"Ukraine","(a) Life expectancy, females","years"
15349,"Albania","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
76973,"Belarus","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
22189,"Bosnia and Herzegovina","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
15806,"Bulgaria","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
20006,"Croatia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
16687,"Czechia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
17606,"Estonia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
18588,"Hungary","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
67239,"Kazakhstan","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
77078,"Kosovo","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
27317,"Latvia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
25205,"Lithuania","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
76986,"Moldova","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
18115,"Montenegro","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
21598,"North Macedonia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
22675,"Poland","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
23639,"Romania","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
24527,"Russia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
19520,"Serbia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
27781,"Serbia and Montenegro","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
26401,"Slovakia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
20682,"Slovenia","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
72799,"Turkey","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
25687,"Ukraine","(a) Gross domestic product total","NCU m (incl. 'euro fixed' series)"
77717,"Albania","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
85776,"Belarus","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
74777,"Bosnia and Herzegovina","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62351,"Bulgaria","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62440,"Croatia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58209,"Czechia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58315,"Estonia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58432,"Hungary","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
70176,"Kazakhstan","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
77080,"Kosovo","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58923,"Latvia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58814,"Lithuania","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
92393,"Moldova","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58402,"Montenegro","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62507,"North Macedonia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
59028,"Poland","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62594,"Romania","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88715,"Russia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58517,"Serbia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
59092,"Slovakia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58663,"Slovenia","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
74801,"Turkey","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
74712,"Ukraine","(a) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
27783,"Serbia and Montenegro","(a) Gross domestic product total","NCU m, 2001 constant prices (incl. 'euro fixed' series)"
76740,"Albania","(a) Gross domestic product total","EUR m"
85638,"Belarus","(a) Gross domestic product total","EUR m"
76741,"Bosnia and Herzegovina","(a) Gross domestic product total","EUR m"
76742,"Bulgaria","(a) Gross domestic product total","EUR m"
76745,"Croatia","(a) Gross domestic product total","EUR m"
76743,"Czechia","(a) Gross domestic product total","EUR m"
76744,"Estonia","(a) Gross domestic product total","EUR m"
76746,"Hungary","(a) Gross domestic product total","EUR m"
76747,"Kazakhstan","(a) Gross domestic product total","EUR m"
77094,"Kosovo","(a) Gross domestic product total","EUR m"
76749,"Latvia","(a) Gross domestic product total","EUR m"
76748,"Lithuania","(a) Gross domestic product total","EUR m"
85618,"Moldova","(a) Gross domestic product total","EUR m"
76750,"Montenegro","(a) Gross domestic product total","EUR m"
76751,"North Macedonia","(a) Gross domestic product total","EUR m"
76752,"Poland","(a) Gross domestic product total","EUR m"
76753,"Romania","(a) Gross domestic product total","EUR m"
76755,"Russia","(a) Gross domestic product total","EUR m"
76754,"Serbia","(a) Gross domestic product total","EUR m"
76759,"Serbia and Montenegro","(a) Gross domestic product total","EUR m"
76757,"Slovakia","(a) Gross domestic product total","EUR m"
76756,"Slovenia","(a) Gross domestic product total","EUR m"
76760,"Turkey","(a) Gross domestic product total","EUR m"
76758,"Ukraine","(a) Gross domestic product total","EUR m"
15352,"Albania","(a) Gross domestic product total","EUR per capita"
85667,"Belarus","(a) Gross domestic product total","EUR per capita"
22195,"Bosnia and Herzegovina","(a) Gross domestic product total","EUR per capita"
15809,"Bulgaria","(a) Gross domestic product total","EUR per capita"
20009,"Croatia","(a) Gross domestic product total","EUR per capita"
16690,"Czechia","(a) Gross domestic product total","EUR per capita"
17610,"Estonia","(a) Gross domestic product total","EUR per capita"
18591,"Hungary","(a) Gross domestic product total","EUR per capita"
67245,"Kazakhstan","(a) Gross domestic product total","EUR per capita"
77074,"Kosovo","(a) Gross domestic product total","EUR per capita"
27320,"Latvia","(a) Gross domestic product total","EUR per capita"
25208,"Lithuania","(a) Gross domestic product total","EUR per capita"
85623,"Moldova","(a) Gross domestic product total","EUR per capita"
18119,"Montenegro","(a) Gross domestic product total","EUR per capita"
21604,"North Macedonia","(a) Gross domestic product total","EUR per capita"
22678,"Poland","(a) Gross domestic product total","EUR per capita"
23642,"Romania","(a) Gross domestic product total","EUR per capita"
24530,"Russia","(a) Gross domestic product total","EUR per capita"
19523,"Serbia","(a) Gross domestic product total","EUR per capita"
27785,"Serbia and Montenegro","(a) Gross domestic product total","EUR per capita"
26404,"Slovakia","(a) Gross domestic product total","EUR per capita"
20686,"Slovenia","(a) Gross domestic product total","EUR per capita"
72802,"Turkey","(a) Gross domestic product total","EUR per capita"
25690,"Ukraine","(a) Gross domestic product total","EUR per capita"
117213,"Albania","(a) Gross domestic product total","PPS m (EU27_2020)"
117216,"Belarus","(a) Gross domestic product total","PPS m (EU27_2020)"
117214,"Bosnia and Herzegovina","(a) Gross domestic product total","PPS m (EU27_2020)"
117215,"Bulgaria","(a) Gross domestic product total","PPS m (EU27_2020)"
117219,"Croatia","(a) Gross domestic product total","PPS m (EU27_2020)"
117217,"Czechia","(a) Gross domestic product total","PPS m (EU27_2020)"
117218,"Estonia","(a) Gross domestic product total","PPS m (EU27_2020)"
117220,"Hungary","(a) Gross domestic product total","PPS m (EU27_2020)"
117221,"Kazakhstan","(a) Gross domestic product total","PPS m (EU27_2020)"
117235,"Kosovo","(a) Gross domestic product total","PPS m (EU27_2020)"
117223,"Latvia","(a) Gross domestic product total","PPS m (EU27_2020)"
117222,"Lithuania","(a) Gross domestic product total","PPS m (EU27_2020)"
117226,"Moldova","(a) Gross domestic product total","PPS m (EU27_2020)"
117224,"Montenegro","(a) Gross domestic product total","PPS m (EU27_2020)"
117225,"North Macedonia","(a) Gross domestic product total","PPS m (EU27_2020)"
117227,"Poland","(a) Gross domestic product total","PPS m (EU27_2020)"
117228,"Romania","(a) Gross domestic product total","PPS m (EU27_2020)"
117230,"Russia","(a) Gross domestic product total","PPS m (EU27_2020)"
117229,"Serbia","(a) Gross domestic product total","PPS m (EU27_2020)"
117232,"Slovakia","(a) Gross domestic product total","PPS m (EU27_2020)"
117231,"Slovenia","(a) Gross domestic product total","PPS m (EU27_2020)"
117233,"Turkey","(a) Gross domestic product total","PPS m (EU27_2020)"
117234,"Ukraine","(a) Gross domestic product total","PPS m (EU27_2020)"
15353,"Albania","(a) Gross domestic product total","PPS (EU27_2020) per capita"
85668,"Belarus","(a) Gross domestic product total","PPS (EU27_2020) per capita"
22196,"Bosnia and Herzegovina","(a) Gross domestic product total","PPS (EU27_2020) per capita"
15810,"Bulgaria","(a) Gross domestic product total","PPS (EU27_2020) per capita"
20010,"Croatia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
16691,"Czechia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
17611,"Estonia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
18592,"Hungary","(a) Gross domestic product total","PPS (EU27_2020) per capita"
67247,"Kazakhstan","(a) Gross domestic product total","PPS (EU27_2020) per capita"
77077,"Kosovo","(a) Gross domestic product total","PPS (EU27_2020) per capita"
27321,"Latvia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
25209,"Lithuania","(a) Gross domestic product total","PPS (EU27_2020) per capita"
85671,"Moldova","(a) Gross domestic product total","PPS (EU27_2020) per capita"
18120,"Montenegro","(a) Gross domestic product total","PPS (EU27_2020) per capita"
21605,"North Macedonia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
22679,"Poland","(a) Gross domestic product total","PPS (EU27_2020) per capita"
23643,"Romania","(a) Gross domestic product total","PPS (EU27_2020) per capita"
24531,"Russia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
19524,"Serbia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
26405,"Slovakia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
20687,"Slovenia","(a) Gross domestic product total","PPS (EU27_2020) per capita"
72803,"Turkey","(a) Gross domestic product total","PPS (EU27_2020) per capita"
25691,"Ukraine","(a) Gross domestic product total","PPS (EU27_2020) per capita"
86393,"Albania","(a) Gross domestic product total","real growth rate in %"
86396,"Belarus","(a) Gross domestic product total","real growth rate in %"
86394,"Bosnia and Herzegovina","(a) Gross domestic product total","real growth rate in %"
86395,"Bulgaria","(a) Gross domestic product total","real growth rate in %"
86399,"Croatia","(a) Gross domestic product total","real growth rate in %"
86397,"Czechia","(a) Gross domestic product total","real growth rate in %"
86398,"Estonia","(a) Gross domestic product total","real growth rate in %"
86400,"Hungary","(a) Gross domestic product total","real growth rate in %"
86401,"Kazakhstan","(a) Gross domestic product total","real growth rate in %"
86414,"Kosovo","(a) Gross domestic product total","real growth rate in %"
86403,"Latvia","(a) Gross domestic product total","real growth rate in %"
86402,"Lithuania","(a) Gross domestic product total","real growth rate in %"
123077,"Moldova","(a) Gross domestic product total","real growth rate in %"
86404,"Montenegro","(a) Gross domestic product total","real growth rate in %"
86405,"North Macedonia","(a) Gross domestic product total","real growth rate in %"
86406,"Poland","(a) Gross domestic product total","real growth rate in %"
86407,"Romania","(a) Gross domestic product total","real growth rate in %"
86409,"Russia","(a) Gross domestic product total","real growth rate in %"
86408,"Serbia","(a) Gross domestic product total","real growth rate in %"
86415,"Serbia and Montenegro","(a) Gross domestic product total","real growth rate in %"
86411,"Slovakia","(a) Gross domestic product total","real growth rate in %"
86410,"Slovenia","(a) Gross domestic product total","real growth rate in %"
86412,"Turkey","(a) Gross domestic product total","real growth rate in %"
86413,"Ukraine","(a) Gross domestic product total","real growth rate in %"
15350,"Albania","(a) Gross domestic product total","index real, 2015 = 100"
76974,"Belarus","(a) Gross domestic product total","index real, 2015 = 100"
22193,"Bosnia and Herzegovina","(a) Gross domestic product total","index real, 2015 = 100"
15807,"Bulgaria","(a) Gross domestic product total","index real, 2015 = 100"
20007,"Croatia","(a) Gross domestic product total","index real, 2015 = 100"
16688,"Czechia","(a) Gross domestic product total","index real, 2015 = 100"
17608,"Estonia","(a) Gross domestic product total","index real, 2015 = 100"
18589,"Hungary","(a) Gross domestic product total","index real, 2015 = 100"
67241,"Kazakhstan","(a) Gross domestic product total","index real, 2015 = 100"
77082,"Kosovo","(a) Gross domestic product total","index real, 2015 = 100"
27318,"Latvia","(a) Gross domestic product total","index real, 2015 = 100"
25206,"Lithuania","(a) Gross domestic product total","index real, 2015 = 100"
85619,"Moldova","(a) Gross domestic product total","index real, 2015 = 100"
18117,"Montenegro","(a) Gross domestic product total","index real, 2015 = 100"
21602,"North Macedonia","(a) Gross domestic product total","index real, 2015 = 100"
22676,"Poland","(a) Gross domestic product total","index real, 2015 = 100"
23640,"Romania","(a) Gross domestic product total","index real, 2015 = 100"
24528,"Russia","(a) Gross domestic product total","index real, 2015 = 100"
74120,"Serbia","(a) Gross domestic product total","index real, 2015 = 100"
26402,"Slovakia","(a) Gross domestic product total","index real, 2015 = 100"
20684,"Slovenia","(a) Gross domestic product total","index real, 2015 = 100"
72800,"Turkey","(a) Gross domestic product total","index real, 2015 = 100"
25688,"Ukraine","(a) Gross domestic product total","index real, 2015 = 100"
15351,"Albania","(a) Gross domestic product deflator","index, 2015 = 100"
85669,"Belarus","(a) Gross domestic product deflator","index, 2015 = 100"
22194,"Bosnia and Herzegovina","(a) Gross domestic product deflator","index, 2015 = 100"
15808,"Bulgaria","(a) Gross domestic product deflator","index, 2015 = 100"
20008,"Croatia","(a) Gross domestic product deflator","index, 2015 = 100"
16689,"Czechia","(a) Gross domestic product deflator","index, 2015 = 100"
17609,"Estonia","(a) Gross domestic product deflator","index, 2015 = 100"
18590,"Hungary","(a) Gross domestic product deflator","index, 2015 = 100"
67243,"Kazakhstan","(a) Gross domestic product deflator","index, 2015 = 100"
77075,"Kosovo","(a) Gross domestic product deflator","index, 2015 = 100"
27319,"Latvia","(a) Gross domestic product deflator","index, 2015 = 100"
25207,"Lithuania","(a) Gross domestic product deflator","index, 2015 = 100"
85621,"Moldova","(a) Gross domestic product deflator","index, 2015 = 100"
18118,"Montenegro","(a) Gross domestic product deflator","index, 2015 = 100"
21603,"North Macedonia","(a) Gross domestic product deflator","index, 2015 = 100"
22677,"Poland","(a) Gross domestic product deflator","index, 2015 = 100"
23641,"Romania","(a) Gross domestic product deflator","index, 2015 = 100"
24529,"Russia","(a) Gross domestic product deflator","index, 2015 = 100"
19522,"Serbia","(a) Gross domestic product deflator","index, 2015 = 100"
26403,"Slovakia","(a) Gross domestic product deflator","index, 2015 = 100"
20685,"Slovenia","(a) Gross domestic product deflator","index, 2015 = 100"
72801,"Turkey","(a) Gross domestic product deflator","index, 2015 = 100"
25689,"Ukraine","(a) Gross domestic product deflator","index, 2015 = 100"
27784,"Serbia and Montenegro","(a) Gross domestic product deflator","index, 2000 = 100"
22231,"Bosnia and Herzegovina","(a) FISIM","NCU m (incl. 'euro fixed' series)"
67269,"Kazakhstan","(a) FISIM","NCU m (incl. 'euro fixed' series)"
92832,"Moldova","(a) FISIM","NCU m (incl. 'euro fixed' series)"
24579,"Russia","(a) FISIM","NCU m (incl. 'euro fixed' series)"
87808,"Albania","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
103509,"Belarus","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
22235,"Bosnia and Herzegovina","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
15861,"Bulgaria","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
20068,"Croatia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
16727,"Czechia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
17661,"Estonia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
18637,"Hungary","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
67270,"Kazakhstan","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
77130,"Kosovo","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
27354,"Latvia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
25245,"Lithuania","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
92788,"Moldova","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
18159,"Montenegro","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
21663,"North Macedonia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
22725,"Poland","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
23688,"Romania","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
110244,"Russia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
19567,"Serbia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
26447,"Slovakia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
20740,"Slovenia","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
76418,"Turkey","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
25740,"Ukraine","(a) Taxes less subsidies on products","NCU m (incl. 'euro fixed' series)"
87871,"Albania","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
103530,"Belarus","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
74776,"Bosnia and Herzegovina","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62396,"Bulgaria","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62483,"Croatia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58252,"Czechia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58356,"Estonia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
59157,"Hungary","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
70175,"Kazakhstan","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
77131,"Kosovo","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58964,"Latvia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58857,"Lithuania","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
103444,"Moldova","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
70398,"Montenegro","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62552,"North Macedonia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
59071,"Poland","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
62617,"Romania","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
110309,"Russia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
58561,"Serbia","(a) Taxes less subsidies on products","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
