"lid","reporter","indicator","unit"
89041,"Belarus","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88620,"Bosnia and Herzegovina","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88624,"Bulgaria","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88628,"Croatia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88632,"Czechia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88636,"Estonia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88640,"Hungary","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88644,"Kazakhstan","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
89046,"Kosovo","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88648,"Latvia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88652,"Lithuania","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
140624,"Moldova","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88660,"Montenegro","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88656,"North Macedonia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88664,"Poland","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88668,"Romania","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88672,"Russia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88676,"Serbia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88680,"Slovakia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88684,"Slovenia","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88688,"Turkey","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
88692,"Ukraine","(m) Gross domestic product total","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
104524,"Albania","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104544,"Belarus","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104525,"Bosnia and Herzegovina","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104526,"Bulgaria","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104529,"Croatia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104527,"Czechia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104528,"Estonia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104530,"Hungary","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104531,"Kazakhstan","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104545,"Kosovo","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104533,"Latvia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104532,"Lithuania","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
140625,"Moldova","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104534,"Montenegro","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104535,"North Macedonia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104536,"Poland","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104537,"Romania","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104539,"Russia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104538,"Serbia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104541,"Slovakia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104540,"Slovenia","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104542,"Turkey","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
104543,"Ukraine","(m) Gross domestic product total","real growth rate to corresponding period of previous year in %"
88617,"Albania","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
89042,"Belarus","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88621,"Bosnia and Herzegovina","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88625,"Bulgaria","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88629,"Croatia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88633,"Czechia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88637,"Estonia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88641,"Hungary","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88645,"Kazakhstan","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
89047,"Kosovo","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88649,"Latvia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88653,"Lithuania","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
140626,"Moldova","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88661,"Montenegro","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88657,"North Macedonia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88665,"Poland","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88669,"Romania","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88673,"Russia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88677,"Serbia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88681,"Slovakia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88685,"Slovenia","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88689,"Turkey","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
88693,"Ukraine","(m) Gross domestic product total","index real, corresponding period of previous year = 100 (quarterly data)"
89784,"Albania","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89787,"Belarus","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89785,"Bosnia and Herzegovina","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89786,"Bulgaria","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89790,"Croatia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89788,"Czechia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89789,"Estonia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89791,"Hungary","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89792,"Kazakhstan","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89805,"Kosovo","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89794,"Latvia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89793,"Lithuania","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
140635,"Moldova","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89795,"Montenegro","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89796,"North Macedonia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89797,"Poland","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89798,"Romania","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89800,"Russia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89799,"Serbia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89802,"Slovakia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89801,"Slovenia","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89803,"Turkey","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89804,"Ukraine","(m) Final consumption expenditure","NCU m (incl. 'euro fixed' series)"
90048,"Albania","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90051,"Belarus","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90049,"Bosnia and Herzegovina","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90050,"Bulgaria","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90054,"Croatia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90052,"Czechia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90053,"Estonia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90055,"Hungary","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90056,"Kazakhstan","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90069,"Kosovo","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90058,"Latvia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90057,"Lithuania","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
140636,"Moldova","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90059,"Montenegro","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90060,"North Macedonia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90061,"Poland","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90062,"Romania","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90064,"Russia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90063,"Serbia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90066,"Slovakia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90065,"Slovenia","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90067,"Turkey","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90068,"Ukraine","(m) Final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90840,"Albania","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90843,"Belarus","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90841,"Bosnia and Herzegovina","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90842,"Bulgaria","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90846,"Croatia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90844,"Czechia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90845,"Estonia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90847,"Hungary","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90848,"Kazakhstan","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90861,"Kosovo","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90850,"Latvia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90849,"Lithuania","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
140637,"Moldova","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90851,"Montenegro","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90852,"North Macedonia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90853,"Poland","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90854,"Romania","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90856,"Russia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90855,"Serbia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90858,"Slovakia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90857,"Slovenia","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90859,"Turkey","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
90860,"Ukraine","(m) Final consumption expenditure","NCU m, 2015 reference prices (prev. year prices, incl. 'euro fixed' series)"
91038,"Albania","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91041,"Belarus","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91039,"Bosnia and Herzegovina","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91040,"Bulgaria","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91044,"Croatia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91042,"Czechia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91043,"Estonia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91045,"Hungary","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91046,"Kazakhstan","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91059,"Kosovo","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91048,"Latvia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91047,"Lithuania","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
140638,"Moldova","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91049,"Montenegro","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91050,"North Macedonia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91051,"Poland","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91052,"Romania","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91054,"Russia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91053,"Serbia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91056,"Slovakia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91055,"Slovenia","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91057,"Turkey","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
91058,"Ukraine","(m) Final consumption expenditure","index real, corresponding period of previous year = 100 (quarterly data)"
104546,"Albania","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104549,"Belarus","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104547,"Bosnia and Herzegovina","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104548,"Bulgaria","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104552,"Croatia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104550,"Czechia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104551,"Estonia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104553,"Hungary","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104554,"Kazakhstan","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104567,"Kosovo","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104556,"Latvia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104555,"Lithuania","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
140640,"Moldova","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104557,"Montenegro","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104558,"North Macedonia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104559,"Poland","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104560,"Romania","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104562,"Russia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104561,"Serbia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104564,"Slovakia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104563,"Slovenia","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104565,"Turkey","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
104566,"Ukraine","(m) Final consumption expenditure","contribution to GDP growth, percentage point change on the period of previous year"
90312,"Albania","(m) Final consumption expenditure","in % of GDP"
90315,"Belarus","(m) Final consumption expenditure","in % of GDP"
90313,"Bosnia and Herzegovina","(m) Final consumption expenditure","in % of GDP"
90314,"Bulgaria","(m) Final consumption expenditure","in % of GDP"
90318,"Croatia","(m) Final consumption expenditure","in % of GDP"
90316,"Czechia","(m) Final consumption expenditure","in % of GDP"
90317,"Estonia","(m) Final consumption expenditure","in % of GDP"
90319,"Hungary","(m) Final consumption expenditure","in % of GDP"
90320,"Kazakhstan","(m) Final consumption expenditure","in % of GDP"
90333,"Kosovo","(m) Final consumption expenditure","in % of GDP"
90322,"Latvia","(m) Final consumption expenditure","in % of GDP"
90321,"Lithuania","(m) Final consumption expenditure","in % of GDP"
140641,"Moldova","(m) Final consumption expenditure","in % of GDP"
90323,"Montenegro","(m) Final consumption expenditure","in % of GDP"
90324,"North Macedonia","(m) Final consumption expenditure","in % of GDP"
90325,"Poland","(m) Final consumption expenditure","in % of GDP"
90326,"Romania","(m) Final consumption expenditure","in % of GDP"
90328,"Russia","(m) Final consumption expenditure","in % of GDP"
90327,"Serbia","(m) Final consumption expenditure","in % of GDP"
90330,"Slovakia","(m) Final consumption expenditure","in % of GDP"
90329,"Slovenia","(m) Final consumption expenditure","in % of GDP"
90331,"Turkey","(m) Final consumption expenditure","in % of GDP"
90332,"Ukraine","(m) Final consumption expenditure","in % of GDP"
90576,"Albania","(m) Final consumption expenditure","in % of GDP, cumulated"
90579,"Belarus","(m) Final consumption expenditure","in % of GDP, cumulated"
90577,"Bosnia and Herzegovina","(m) Final consumption expenditure","in % of GDP, cumulated"
90578,"Bulgaria","(m) Final consumption expenditure","in % of GDP, cumulated"
90582,"Croatia","(m) Final consumption expenditure","in % of GDP, cumulated"
90580,"Czechia","(m) Final consumption expenditure","in % of GDP, cumulated"
90581,"Estonia","(m) Final consumption expenditure","in % of GDP, cumulated"
90583,"Hungary","(m) Final consumption expenditure","in % of GDP, cumulated"
90584,"Kazakhstan","(m) Final consumption expenditure","in % of GDP, cumulated"
90597,"Kosovo","(m) Final consumption expenditure","in % of GDP, cumulated"
90586,"Latvia","(m) Final consumption expenditure","in % of GDP, cumulated"
90585,"Lithuania","(m) Final consumption expenditure","in % of GDP, cumulated"
140642,"Moldova","(m) Final consumption expenditure","in % of GDP, cumulated"
90587,"Montenegro","(m) Final consumption expenditure","in % of GDP, cumulated"
90588,"North Macedonia","(m) Final consumption expenditure","in % of GDP, cumulated"
90589,"Poland","(m) Final consumption expenditure","in % of GDP, cumulated"
90590,"Romania","(m) Final consumption expenditure","in % of GDP, cumulated"
90592,"Russia","(m) Final consumption expenditure","in % of GDP, cumulated"
90591,"Serbia","(m) Final consumption expenditure","in % of GDP, cumulated"
90594,"Slovakia","(m) Final consumption expenditure","in % of GDP, cumulated"
90593,"Slovenia","(m) Final consumption expenditure","in % of GDP, cumulated"
90595,"Turkey","(m) Final consumption expenditure","in % of GDP, cumulated"
90596,"Ukraine","(m) Final consumption expenditure","in % of GDP, cumulated"
89806,"Albania","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89809,"Belarus","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89807,"Bosnia and Herzegovina","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89808,"Bulgaria","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89812,"Croatia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89810,"Czechia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89811,"Estonia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89813,"Hungary","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89814,"Kazakhstan","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89827,"Kosovo","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89816,"Latvia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89815,"Lithuania","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
140643,"Moldova","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89817,"Montenegro","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89818,"North Macedonia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89819,"Poland","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89820,"Romania","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89822,"Russia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89821,"Serbia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89824,"Slovakia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89823,"Slovenia","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89825,"Turkey","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
89826,"Ukraine","(m) Household final consumption expenditure","NCU m (incl. 'euro fixed' series)"
90070,"Albania","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90073,"Belarus","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90071,"Bosnia and Herzegovina","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90072,"Bulgaria","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90076,"Croatia","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90074,"Czechia","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90075,"Estonia","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90077,"Hungary","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
90078,"Kazakhstan","(m) Household final consumption expenditure","NCU m, cumulated (incl. 'euro fixed' series)"
